title,moviefire,imdb,kinopoisk,metacritic,rotten_tomatoes
Форма голоса,7.666666666666667,8,8,5,9
Столкновение,76.16666666666667,79,78,69,74
Форма воды,77.5,69,74,87,92
Чикаго,77.5,77,72,82,85
Влюблённый Шекспир,78.5,75,71,87,92
Английский пациент,79.5,79,74,87,84
Твоё имя,93.33333333333333,90,100,90,90
